time,rk4_pos_x,rk4_vel_x,rk4_pos_y,rk4_vel_y,discrete_pos_x,discrete_vel_x,discrete_pos_y,discrete_vel_y,exact_pos_x,exact_vel_x,exact_pos_y,exact_vel_y
0,0,14.14213562373095,0,14.14213562373095,0,14.14213562373095,0,14.14213562373095,0,14.14213562373095,0,14.14213562373095
0.01,0.1414213562373095,14.14213562373095,0.1409308562373095,14.04403562373095,0.1414213562373095,14.14213562373095,0.1409308562373095,14.04403562373095,0.1414213562373095,14.14213562373095,0.1409308562373095,14.04403562373095
0.02,0.2828427124746191,14.14213562373095,0.280880712474619,13.94593562373095,0.282842712474619,14.14213562373095,0.280880712474619,13.94593562373095,0.282842712474619,14.14213562373095,0.280880712474619,13.94593562373095
0.03,0.4242640687119286,14.14213562373095,0.4198495687119285,13.84783562373095,0.4242640687119285,14.14213562373095,0.4198495687119285,13.84783562373095,0.4242640687119285,14.14213562373095,0.4198495687119285,13.84783562373095
0.04,0.5656854249492381,14.14213562373095,0.5578374249492379,13.74973562373095,0.565685424949238,14.14213562373095,0.5578374249492379,13.74973562373095,0.565685424949238,14.14213562373095,0.557837424949238,13.74973562373095
0.05,0.7071067811865477,14.14213562373095,0.6948442811865474,13.65163562373095,0.7071067811865475,14.14213562373095,0.6948442811865474,13.65163562373095,0.7071067811865476,14.14213562373095,0.6948442811865475,13.65163562373095
0.06,0.8485281374238572,14.14213562373095,0.8308701374238568,13.55353562373095,0.8485281374238569,14.14213562373095,0.830870137423857,13.55353562373095,0.848528137423857,14.14213562373095,0.830870137423857,13.55353562373095
0.07000000000000001,0.9899494936611668,14.14213562373095,0.9659149936611664,13.45543562373095,0.9899494936611664,14.14213562373095,0.9659149936611665,13.45543562373095,0.9899494936611667,14.14213562373095,0.9659149936611666,13.45543562373095
0.08,1.131370849898476,14.14213562373095,1.099978849898476,13.35733562373095,1.131370849898476,14.14213562373095,1.099978849898476,13.35733562373095,1.131370849898476,14.14213562373095,1.099978849898476,13.35733562373095
0.09,1.272792206135786,14.14213562373095,1.233061706135785,13.25923562373094,1.272792206135785,14.14213562373095,1.233061706135785,13.25923562373094,1.272792206135785,14.14213562373095,1.233061706135786,13.25923562373095
0.1,1.414213562373095,14.14213562373095,1.365163562373095,13.16113562373094,1.414213562373095,14.14213562373095,1.365163562373095,13.16113562373094,1.414213562373095,14.14213562373095,1.365163562373095,13.16113562373095
0.11,1.555634918610405,14.14213562373095,1.496284418610404,13.06303562373094,1.555634918610404,14.14213562373095,1.496284418610404,13.06303562373094,1.555634918610405,14.14213562373095,1.496284418610404,13.06303562373095
0.12,1.697056274847714,14.14213562373095,1.626424274847714,12.96493562373094,1.697056274847714,14.14213562373095,1.626424274847714,12.96493562373094,1.697056274847714,14.14213562373095,1.626424274847714,12.96493562373095
0.13,1.838477631085023,14.14213562373095,1.755583131085023,12.86683562373094,1.838477631085023,14.14213562373095,1.755583131085023,12.86683562373094,1.838477631085024,14.14213562373095,1.755583131085023,12.86683562373095
0.14,1.979898987322333,14.14213562373095,1.883760987322333,12.76873562373094,1.979898987322332,14.14213562373095,1.883760987322333,12.76873562373094,1.979898987322333,14.14213562373095,1.883760987322333,12.76873562373095
0.15,2.121320343559642,14.14213562373095,2.010957843559642,12.67063562373094,2.121320343559642,14.14213562373095,2.010957843559642,12.67063562373094,2.121320343559642,14.14213562373095,2.010957843559642,12.67063562373095
0.16,2.262741699796952,14.14213562373095,2.137173699796951,12.57253562373094,2.262741699796952,14.14213562373095,2.137173699796951,12.57253562373094,2.262741699796952,14.14213562373095,2.137173699796952,12.57253562373095
0.17,2.404163056034262,14.14213562373095,2.262408556034261,12.47443562373094,2.404163056034261,14.14213562373095,2.262408556034261,12.47443562373094,2.404163056034262,14.14213562373095,2.262408556034261,12.47443562373095
0.18,2.545584412271571,14.14213562373095,2.38666241227157,12.37633562373094,2.545584412271571,14.14213562373095,2.38666241227157,12.37633562373094,2.545584412271571,14.14213562373095,2.386662412271571,12.37633562373095
0.19,2.687005768508881,14.14213562373095,2.50993526850888,12.27823562373094,2.687005768508881,14.14213562373095,2.509935268508879,12.27823562373094,2.687005768508881,14.14213562373095,2.50993526850888,12.27823562373095
0.2,2.828427124746191,14.14213562373095,2.632227124746189,12.18013562373094,2.82842712474619,14.14213562373095,2.632227124746188,12.18013562373094,2.82842712474619,14.14213562373095,2.63222712474619,12.18013562373095
0.21,2.9698484809835,14.14213562373095,2.753537980983498,12.08203562373094,2.9698484809835,14.14213562373095,2.753537980983498,12.08203562373094,2.9698484809835,14.14213562373095,2.753537980983499,12.08203562373095
0.22,3.11126983722081,14.14213562373095,2.873867837220808,11.98393562373094,3.11126983722081,14.14213562373095,2.873867837220807,11.98393562373094,3.111269837220809,14.14213562373095,2.873867837220809,11.98393562373095
0.23,3.25269119345812,14.14213562373095,2.993216693458117,11.88583562373094,3.252691193458119,14.14213562373095,2.993216693458116,11.88583562373094,3.252691193458119,14.14213562373095,2.993216693458118,11.88583562373095
0.24,3.394112549695429,14.14213562373095,3.111584549695426,11.78773562373094,3.394112549695429,14.14213562373095,3.111584549695425,11.78773562373094,3.394112549695428,14.14213562373095,3.111584549695428,11.78773562373095
