# time px py vx vy
0.93000000 13.15218613 8.90985163 14.14213562 5.01883562
0.94000000 13.29360749 8.95954949 14.14213562 4.92073562
0.95000000 13.43502884 9.00826634 14.14213562 4.82263562
0.96000000 13.57645020 9.05600220 14.14213562 4.72453562
0.97000000 13.71787156 9.10275706 14.14213562 4.62643562
0.98000000 13.85929291 9.14853091 14.14213562 4.52833562
0.99000000 14.00071427 9.19332377 14.14213562 4.43023562
1.00000000 14.14213562 9.23713562 14.14213562 4.33213562
1.01000000 14.28355698 9.27996648 14.14213562 4.23403562
1.02000000 14.42497834 9.32181634 14.14213562 4.13593562
1.03000000 14.56639969 9.36268519 14.14213562 4.03783562
1.04000000 14.70782105 9.40257305 14.14213562 3.93973562
1.05000000 14.84924240 9.44147990 14.14213562 3.84163562
1.06000000 14.99066376 9.47940576 14.14213562 3.74353562
1.07000000 15.13208512 9.51635062 14.14213562 3.64543562
1.08000000 15.27350647 9.55231447 14.14213562 3.54733562
1.09000000 15.41492783 9.58729733 14.14213562 3.44923562
1.10000000 15.55634919 9.62129919 14.14213562 3.35113562
1.11000000 15.69777054 9.65432004 14.14213562 3.25303562
1.12000000 15.83919190 9.68635990 14.14213562 3.15493562
1.13000000 15.98061325 9.71741875 14.14213562 3.05683562
1.14000000 16.12203461 9.74749661 14.14213562 2.95873562
1.15000000 16.26345597 9.77659347 14.14213562 2.86063562
1.16000000 16.40487732 9.80470932 14.14213562 2.76253562
1.17000000 16.54629868 9.83184418 14.14213562 2.66443562
1.18000000 16.68772004 9.85799804 14.14213562 2.56633562
1.19000000 16.82914139 9.88317089 14.14213562 2.46823562
1.20000000 16.97056275 9.90736275 14.14213562 2.37013562
1.21000000 17.11198410 9.93057360 14.14213562 2.27203562
1.22000000 17.25340546 9.95280346 14.14213562 2.17393562
1.23000000 17.39482682 9.97405232 14.14213562 2.07583562
1.24000000 17.53624817 9.99432017 14.14213562 1.97773562
1.25000000 17.67766953 10.01360703 14.14213562 1.87963562
1.26000000 17.81909089 10.03191289 14.14213562 1.78153562
